alpha_H,alpha_W,beta_loss,init,l1_ratio,max_iter,n_components,reconstruction_error,frobenius_error,coherence_score,sparsity_W,sparsity_H,combined_score,run_id,timestamp
0.0,0.1,frobenius,nndsvda,0.0,3000,15,204.09697136452704,204.09697136452675,0.6494014446247214,0.4799160533978221,0.5462,0.7204325943441222,20250614_072906,2025-06-14 07:29:06
0.0,0.1,frobenius,nndsvda,0.0,3000,15,204.09697136452704,204.09697136452675,0.6494014446247214,0.4799160533978221,0.5462,0.7204325943441222,,
0.0,0.01,frobenius,nndsvda,0.0,3000,15,204.09697136490533,204.09697136490496,0.6494014446247214,0.4698508002029173,0.5462,0.7204325943436041,,
0.0,0.1,frobenius,nndsvda,0.0,2000,15,204.0969714859038,204.0969714859036,0.6494014446247214,0.4773114849792566,0.5462,0.7204325941778629,,
0.0,0.01,frobenius,nndsvda,0.0,2000,15,204.096971487094,204.09697148709407,0.6494014446247214,0.4689988255814761,0.5462,0.7204325941762322,,
0.1,0.0,frobenius,nndsvda,0.0,3000,15,204.0969716563792,204.0969716563792,0.6494014446247214,0.465157295640753,0.5740333333333333,0.7204325939443492,,
0.01,0.0,frobenius,nndsvda,0.0,3000,15,204.09697168335583,204.0969716833556,0.6494014446247214,0.4651531261075323,0.5545,0.7204325939073977,,
0.1,0.0,frobenius,nndsvda,0.0,2000,15,204.0969721247948,204.09697212479463,0.6494014446247214,0.4651461768854976,0.5688666666666666,0.7204325933027245,,
0.01,0.0,frobenius,nndsvda,0.0,2000,15,204.0969721981397,204.09697219813964,0.6494014446247214,0.4651517362631253,0.553,0.7204325932022582,,
0.0,0.0,frobenius,nndsvda,0.0,2000,15,204.0969730422865,204.0969730422868,0.6494014446247214,0.4652017706617744,0.5463,0.7204325920459645,,
0.0,0.0,frobenius,nndsvda,0.5,2000,15,204.0969730422865,204.0969730422868,0.6494014446247214,0.4652017706617744,0.5463,0.7204325920459645,,
0.0,0.0,frobenius,nndsvda,0.5,3000,15,204.0969730422865,204.0969730422868,0.6494014446247214,0.4652017706617744,0.5463,0.7204325920459645,,
0.0,0.0,frobenius,nndsvda,1.0,3000,15,204.0969730422865,204.0969730422868,0.6494014446247214,0.4652017706617744,0.5463,0.7204325920459645,,
0.0,0.0,frobenius,nndsvda,1.0,2000,15,204.0969730422865,204.0969730422868,0.6494014446247214,0.4652017706617744,0.5463,0.7204325920459645,,
0.0,0.0,frobenius,nndsvda,0.0,3000,15,204.0969730422865,204.0969730422868,0.6494014446247214,0.4652017706617744,0.5463,0.7204325920459645,,
0.1,0.0,frobenius,nndsvda,0.0,3000,12,205.29844784063,205.29844784063,0.6346202805134769,0.437481323965782,0.538875,0.7028539905285339,,
0.01,0.0,frobenius,nndsvda,0.0,3000,12,205.29844786553863,205.2984478655383,0.6346202805134769,0.4374900104933252,0.522125,0.7028539904944151,,
0.1,0.0,frobenius,nndsvda,0.0,2000,12,205.29844826303585,205.29844826303585,0.6346202805134769,0.4374830612712906,0.535,0.7028539899499319,,
0.01,0.0,frobenius,nndsvda,0.0,2000,12,205.29844833152976,205.29844833152976,0.6346202805134769,0.4374865358823079,0.5206666666666667,0.7028539898561105,,
0.0,0.1,frobenius,nndsvda,0.0,3000,10,206.13380987049408,206.13380987049425,0.6356583662814677,0.4197635874663831,0.46945,0.7028286994797996,,
0.0,0.01,frobenius,nndsvda,0.0,3000,10,206.13380987070036,206.13380987070013,0.6356583662814677,0.4118977630454271,0.46945,0.7028286994795176,,
0.0,0.1,frobenius,nndsvda,0.0,2000,10,206.13380996286008,206.13380996286008,0.6356583662814677,0.417733024787875,0.46945,0.702828699353279,,
0.0,0.01,frobenius,nndsvda,0.0,2000,10,206.1338099635753,206.13380996357537,0.6356583662814677,0.4111931119311193,0.46945,0.7028286993522992,,
